,備考,"Main_No
(BTS#)",Estimate_VendorType,"Estimate_ModuleMain,Main_ModuleMain","Estimate_ModuleSub,Main_ModuleSub","UN_Summary_J
現象/機能のサマリー(日本語）",UN_Summary,"UN_Detail_J
現象/機能の詳細(日本語）",UN_Detail,"UN_ImpOpeResult_J
改善後の動作と結果(日本語）",UN_ImpOpeResult,"UN_RelevantRevision_J
現象発生レビジョン(日本語）",UN_RelevantRevision,RelatedPackages,ReferDoc,ReferDoc_J,OutputProduct,InputFileName,responsibility for the UN contents
R1.01_02,#1425,BTS00028258,Defect,TDL,Testing Unit Class,10万を超えるベクタパターンでLCDピンのパターンを読み書きする際にエラーが発生する現象,Reading/writing such LCD pin pattern data that should contain more than one hundred thousand vectors would encounter an error.,10万を超えるベクタパターンでLCDピンのパターンを読み書きする際にエラーが発生していました。,Reading/writing such LCD pin pattern data that should contain more than one hundred thousand vectors would encounter an error.,10万を超えるベクタパターンでLCDピンのパターンを読み書きできるようになりました。,Reading/writing such LCD pin pattern data that should contain more than one hundred thousand vectors works without encountering an error.,R1.01_00以降,R1.01_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3 大泉
R1.01_02,#1235,BTS00028059,Defect,TDL,Testing Unit Class,OUTO命令のあるパターン・プログラム実行中にサイト・コントローラがハングアップしてしまう現象,Site controller hang-up occurred during the execution of a pattern program which used the OUTO instruction.,単数個測定で複数のOUTO命令があるパターン・プログラム実行中にサイト・コントローラがハングアップしてしまう場合がありました。,"In a single-device test, a site controller hang-up sometimes occurred during the execution of a pattern program which used the OUTO instruction.",単数個測定で複数のOUTO命令があるパターン・プログラムを実行しても、サイト・コントローラがハングアップしなくなりました。,"In a single-device test, a site controller hang-up does not occur at the execution of a pattern program which uses the OUTO instruction.",R1.01_00以降,R1.01_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3 三俣
R1.01_02,#1428,BTS00028259,Defect,TDL,Testing Unit Class,OUTO命令のあるパターン・プログラムを使用した場合、試験結果がUNDEFINEDになってしまう現象,The test result using a pattern program with the OUTO instruction in it would turn UNDEFINED.,"以下の条件を全て満たす場合に関係するクラスまたは、ツールの試験結果がUNDEFINEDになっていました。

条件
　・TESTクラスのpgデータ・メンバにFAILINH以外を指定
　・OUTO命令を使用しているパターン・プログラムを使用
　・パターン・プログラムでFAILが発生

関係するクラスまたは、ツール
　・MEASURE_AC
　・MEASURE_FT
　・PG
　・SCAN2
　・Pattern Editor
　・Wave Tool
　・Shmoo Tool
　・3D Trend Tool
　・Scope Sync Tool","Under all of the following-met condition of the below listed Testing Unit Class or Tool types, test result would turn UNDEFINED.

  Conditions
   1) Other than FAILINH is designated as the pg data member of TEST class
   2) A pattern program with the OUTO instruction in it is used.
   3) FAIL occurs with the pattern program.

  Related Testing Unit Class or tool
   1) MEASURE_AC
   2) MEASURE_FT
   3) PG
   4) SCAN2
   5) Pattern Editor
   6) Wave Tool
   7) Shmoo Tool
   8) 3D Trend Tool
   9) Scope Sync Tool",OUTO命令のあるパターン・プログラムを使用した場合でも試験結果が正しくなりました。,The test result using a pattern program with the OUT instruction in it is valid and correct.,R1.00_00以降,R1.00_00 and later,"AT_T6KAQM_x64,AT_T6KCommon_x64",,,PLXM20-MD,UN_ASDSoft3.xls,ASD3 三俣
R1.01_02,#1442,BTS00028311,Defect,TDL,Testing Unit Class,cprelay データ・メンバに ON を指定した場合、LCDPIN の UNIT リレーが open になる現象,The UNIT relay of LCDPINs are opened when ON is specified by cprelay data member.,"以下のクラスにおいて、cprelayデータ・メンバにONを指定した場合、Exec()メソッドまたはStart()メソッドの実行中にLCDPINのUNITリレーがOPENになっていました。

[対象クラス]
・MEASURE_DPSIM
・MEASURE_DPSAVRIM","In the following classes, the UNIT relay of LCDPINs are opened during executing the Exec() method or Start() method when ON is specified by the cprelay data member.

[Relevant classes]
・MEASURE_DPSIM
・MEASURE_DPSAVRIM",cprelayデータ・メンバでONを指定しても、LCDPINのUNITリレーはOPENにならなくなりました。,The UNIT relay of LCDPINs are not opened when ON is specified by the cprelay data member.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3 阪東
R1.01_02,5/15追加,BTS00027642,Enhancement,GUI_Tools,TDL Debugger Tool,ツール操作のレスポンスの向上,Improvement of response to tool operations,"以下の各操作のレスポンスを向上させました。

(1) ツールの起動
(2) [Execute]→[Step]コマンド
(3) [Execute]→[Edit]コマンド
(4) [Debug]→[Object…]コマンド","The response to the following operations has been improved:

(1) Start of the tool
(2) [Execute]→[Step] command
(3) [Execute]→[Edit] command
(4) [Debug]→[Object…] command",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_02,#1423,BTS00028243,Enhancement,TDL,TDL Interpreter,TDLインタプリタのスタックサイズの拡張,Extension of the stack size of TDL interpreter,"TDLインタプリタのスタックサイズおよびヒープサイズを以下のように拡張します。 

|                    | 変更前 | 変更後
+--------------------+--------+----------
| TDLスタックサイズ  | 32MB   | 256MB
| TDLヒープサイズ    | 32MB   | 128MB","The stack size and the heap size of the TDL interpreter are expanded as follows.

|                         | before | after
+----------------+------+----------
| TDL stack size     | 32MB | 256MB
| TDL heap size      | 32MB | 128MB",,,,,AT_T6KCommon_x64,マニュアルなし,There is no manual.,PLXM20-MD,UN_ASDSoft3.xls,ASD3 清野
R1.01_02,最終入力日付：6/1,BTS00028137,Enhancement,TDL,Testing Unit Class,テスティング・ユニット・クラスの実行時間の高速化,Enhancement of testing unit class execution time,"以下のテスティング・ユニット・クラスの実行時間を高速化しました。
1. 対象クラス : DPSVSIMクラス、DPSISVMクラス
　　条件 : リファレンス・オン状態
　　　　　　測定レンジをM800MAレンジから他のレンジへの変更、または他のレンジからM800MAレンジへの変更
　　改善時間 : 2.5mS
2. 対象クラス : MEASURE_IMクラスおよびMEASURE_VMクラス
　　条件 : HVDCを使用したExec()メソッドおよびStart()メソッドの実行
　　改善時間 : 1mS
3. 対象クラス : CONTACTクラス、DPSISVMクラス、DPSVSIMクラス、LCDPSEL_VTILクラス、PCONクラス、RVS_VSクラス
　　条件 : テスト・プラン・プログラム実行開始後、最初のリレー、印加モード、印加レンジの変更
　　改善時間 : SEQUENCEクラスで設定したpowerT0時間とsignalT0時間
4. 対象クラス : DPSVSIMクラス、DPSISVMクラス
　　条件 : Load()メソッドの実行
　　改善時間 : 0.5mS
5. 対象クラス : LCDPSEL_VTILクラス
　　条件 : inputデータ・メンバにMDGT_FTを選択してLoad()メソッドの実行
　　改善時間 : 0.5mS
6. 対象クラス : VECTORFILEクラス、VECTORFILEGRPクラス
　　条件 : tdl_ldpathにてパターン・サーチ・パスを指定後、同じパターンに対してLoad()メソッドを実行
　　改善時間 : 0.3mS","The execution time of the following testing unit classes has been improved:
1. Relevant classes: DPSVSIM and DPSISVM
　　Condition: Reference-on state
　　　　　　The measurement range is changed from M800MA to another range, or vice versa.
　　Improved time: 2.5mS
2. Relevant classes: MEASURE_IM and MEASURE_VM
　　Condition: The Exec() or Start() method that uses HVDC is executed.
　　Improved time: 1mS
3. Relevant classes: CONTACT, DPSISVM, DPSVSIM, LCDPSEL_VTIL, PCON, and RVS_VS
　　Condition: After test plan program execution starts, the first relay, source mode, or source range is changed.
　　Improved time: The time of powerT0 and signalT0 set by using the SEQUENCE class.
4. Relevant classes: DPSVSIM and DPSISVM
　　Condition: The Load() method is executed.
　　Improved time: 0.5mS
5. Relevant classes: LCDPSEL_VTIL
　　Condition: MDGT_FT is selected for the input data member and the Load() method is executed.
　　Improved time: 0.5mS
6. Relevant classes: VECTORFILE and VECTORFILEGRP
　　Condition: The pattern search path is specified and the same pattern is selected with lpat member and the Load() method is executed.
　　Improved time: 0.3mS",,,,,AT_T6KCommon_x64,内部変更のため、マニュアルに変更はありません。,There is no change in the Manual for the internal change.,PLXM20-MD,UN_ASDSoft2.xls,ASDソフト2課 斉木
R1.01_02,最終入力日付：6/4,BTS00028317,Enhancement,TDL,Testing Unit Class,MEASURE_IMクラスおよびMEASURE_VMクラスのHVDCユニットによる測定時にDCリレー接続のエラーチェックを追加,DC relay connection check is added at measurement using HVDC unit in MEASURE_IM class and MEASURE_VM class.,"HVDCユニットを使用してLCDPINまたはRVSPINのDCパラメトリック試験を行うとき、以下の2つのケースでは、HVDCユニットと測定対象ピンが接続されない状態になります。このケースでのエラーチェックを追加しました。

(ケース1)
　・MEASURE_IMクラス、またはMEASURE_VMクラスのsequenceデータ・メンバにDCCTRL_OFFを指定している。
　・以下の順序でリレー接続および測定を実行すると 3でランタイム・エラーが発生します。
　　　1. SIGDCLCDクラスでLCDPINにHVDCユニットを接続する。
　    2. RVSUNIT_RELAYクラスでRVSPINにHVDCユニットを接続する。その結果、LCDPINのDCリレーがOPENされる。
　　　3. MEASURE_IMクラス、またはMEASURE_VMクラスでLCDPINの測定を行う。

(ケース2)
　・MEASURE_IMクラス、またはMEASURE_VMクラスのsequenceデータ・メンバにDCCTRL_OFFを指定している。
　・以下の順序でリレー接続および測定を実行すると 3でランタイム・エラーが発生します。
　    1. RVSUNIT_RELAYクラスでRVSPINにHVDCユニットを接続する。
　　　2. SIGDCLCDクラスでLCDPINにHVDCユニットを接続する。その結果、RVSPINのDCリレーがOPENされる。
　　　3. MEASURE_IMクラス、またはMEASURE_VMクラスでRVSPINの測定を行う。

(エラーメッセージ)
　　 Please connect the pin that the pinlist member specifies with DC when you specify DCCTRL_OFF for the sequence member.
　　Specified DC:HVDC
　　Pin not connected with DC: ""PinName""","When executing DC parametric testing of LCDPIN or RVSPIN using HVDC unit, HVDC unit doesn't connect with target measurement pin by the following 2 cases. The error checking of these cases was added.

(case 1)
 * DCCTRL_OFF is specified by sequence data member in MEASURE_IM class or MEASURE_VM class.
 * When relay connection and measurement are executing by the following order, the run time error occurs in 3.
   1. HVDC unit is connected to LCDPIN at SIGDCLCD class.
   2. HVDC unit is connected to RVSPIN at RVSUNIT_RELAY class.
　　　As a result, DC relay of LCDPIN will be OPEN.
   3. LCDPIN is measured at MEASURE_IM class or MEASURE_VM class.

(case 2)
 * DCCTRL_OFF is specified by sequence data member in MEASURE_IM class or MEASURE_VM class.
 * When relay connection and measurement are executing by the following order, the run time error occurs in 3.
   1. HVDC unit is connected to RVSPIN at RVSUNIT_RELAY class.
   2. HVDC unit is connected to LCDPIN at SIGDCLCD class.
　　　As a result, DC relay of RVSPIN will be OPEN.
   3. RVSPIN is measured at MEASURE_IM class or MEASURE_VM class.

(Error message)
　　 Please connect the pin that the pinlist member specifies with DC when you specify DCCTRL_OFF for the sequence member.
　　Specified DC:HVDC
　　Pin not connected with DC: ""PinName""",,,,,AT_T6KCommon_x64,内部変更のため、マニュアルに変更はありません。,There is no change in the Manual for the internal change.,PLXM20-MD,UN_ASDSoft2.xls,ASDソフト2課 斉木
R1.02_00,備考,"Main_No
(BTS#)",Estimate_VendorType,"Estimate_ModuleMain,Main_ModuleMain","Estimate_ModuleSub,Main_ModuleSub","UN_Summary_J
現象/機能のサマリー(日本語）",UN_Summary,"UN_Detail_J
現象/機能の詳細(日本語）",UN_Detail,"UN_ImpOpeResult_J
改善後の動作と結果(日本語）",UN_ImpOpeResult,"UN_RelevantRevision_J
現象発生レビジョン(日本語）",UN_RelevantRevision,RelatedPackages,ReferDoc,ReferDoc_J,OutputProduct,InputFileName,responsibility for the UN contents
R1.02_00,,BTS00028378,Defect,BusDriver,Bus_Library,TSC4Lを搭載したシステムにおいて、サイト・コントローラがブルー・スクリーンになる現象,"In the system equipped with TSC4L, the Site Controller would become a blue screen.","TSC4Lを搭載したシステムにおいて、PCIのタイムアウト時間より、サイト・コントローラからモジュールへのWriteタイムアウト時間が長かったため、ブルー・スクリーンになる現象が発生していました。
この現象は、故障しているモジュールに対し、多くの書き込み処理を行った場合に発生していました。","In the system equipped with TSC4L, the Site Controller has become a blue screen because Write time-out value to the module from a site controller was longer than time-out value of PCI.
This phenomenon occurred when doing much writing access to  broken modules,",TSC4Lを搭載したシステムにおいて、モジュールが故障しても、サイト・コントローラがブルー・スクリーンにならなくなりました。,"In the system equipped with TSC4L, the Site Controller will not become a blue screen even if the modules are broken.",R1.01_00以降,R1.01_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_DriverSoft.xls,佐治
R1.02_00,6/26追加,BTS00028413,Defect,Cal/Diags,DC_Calibration(LCD256),ACキャリブレーションおよび一部の診断項目でフェイルする現象,A fail result occurred in AC Calibration and a part of Diagnotics.,"T6391 LCD256モジュールのDCキャリブレーションの設定により、ACキャリブレーションおよび下記の診断項目で“Pattern Start Time Out”が発生して、フェイルすることがありました。

[診断項目]
・TEST 070010 PG DFM FAIL PATH CHECK 1       (MTX PATH)
・TEST 070020 PG VGC FAIL PATH CHECK         (MTX PATH)
・TEST 073100 PG DFM JEC LOOP MODE CHECK     (MTX PATH)","By setting of the DC calibration of the T6391 LCD256 module, ""Pattern Start Time Out"" would occur in the following diagnostic items and also in AC calibration accompanied by the fail result.

[Diagnostic items]
 - TEST 070010 PG DFM FAIL PATH CHECK 1       (MTX PATH)
 - TEST 070020 PG VGC FAIL PATH CHECK         (MTX PATH)
 - TEST 073100 PG DFM JEC LOOP MODE CHECK     (MTX PATH)",DCキャリブレーションの設定にかかわらず、上記の診断項目およびACキャリブレーションがパスするようになりました。,"Regardless of the setting of the DC calibration, the above listed diagnostic items and AC calibration now pass.",R1.00_00以降,R1.00_00 and later,AT_T6KAQMCD_x64,,,PLXM20-CD,UN_CPD.xls,PG開発3課　松浦
R1.02_00,6/22追加,BTS99999999,Defect,Cal/Diags,DC_Calibration(LCD256),LCD256のストローブ・タイミングがT6373と比べて100nSずれる現象,Timing of the LCD_256 strobe would differ from that of T6373 by 100nS.,"T6391 LCD256モジュールのストローブ・タイミングがT6373と比べて100nSずれていました。
このため、すべてのモジュールでDC/ACキャリブレーションの再実行が必要です。","T6391 LCD256 module strobe timing would differ from that of T6373 by 100nS. 
The system timing of all Digital Modules has been rebuilt to correct the measurement timing difference observed in the T6391-LCD256 module comparator.
Therefore it is necessary to re-execute of the DC/AC calibration in all modules.",LCD256のストローブ・タイミングがT6373と同じになりました。,The strobe timing is same between LCD256 and T6373.,R1.00_00以降,R1.00_00 and later,"AT_T6KAQMCD_x64,AT_T6KSGM208CD_x64",,,PLXM20-CD,UN_CPD.xls,ASDテスト開発課　井上
R1.02_00,6/30追加,BTS00028417,Defect,Cal/Diags,DC_Calibration(LCD256),DCキャリブレーションが間欠でフェイルする現象,Intermittent DC Calibration failed.,"T6391 LCD256モジュールの下記の項目で、モジュールが正常であるにもかかわらず、DCキャリブレーションが間欠でフェイルすることがありました。

・FPHA CDLL DSKW
・FPHA MUX81
・FPHA SRSKEW","DC Calibration on T6391 LCD256 Module of the normal module operation confirmed state would fail intermittently at the following item:

 - FPHA CDLL DSKW
 - FPHA MUX81
 - FPHA SRSKEW",上記のDCキャリブレーション項目を正しく実行できるようにしました。,The above mentioned DC calibration items are now executed correctly.,R1.00_00以降,R1.00_00 and later,AT_T6KAQMCD_x64,,,PLXM20-CD,UN_CPD.xls,FT開発1課根岸
R1.02_00,6/9追加,BTS00028341,Defect,Cal/Diags,DC_Calibration(RVS32),ボードをスワップした際にDCキャリブレーションがフェイルする現象,A fail result occurred in DC Calibration when boards were swapped.,DCキャリブレーション実行後に任意の複数枚のボードをスワップして再度DCキャリブレーションを実行した際にフェイルが発生するようになっていました。,A fail result occurred when DC Calibration was re-executed after swapping two or more boards after execution of DC Calibration.,ボードスワップした際にDCキャリブレーションが正常にパスできるようになりました。,A pass result can now be obtained in DC Calibration even after boards are swapped.,R1.00_00以降,R1.00_00 and later,AT_T6KAQMCD_x64,,,PLXM20-CD,UN_CPD.xls,DC開発１課　永田
R1.02_00,6/9追加,BTS00028343,Defect,Cal/Diags,Structural_Diagnostics(RVS32),Structural_Diagnostics TEST 023100 RVS32 RVS REFERENCE VOLTAGE ACCURACY CHECKの診断がフェイルする現象,The diagnostic item Structural_Diagnostics TEST 023100 RVS32 RVS REFERENCE VOLTAGE ACCURACY CHECK resulted in a fail.,T6391 RVS32モジュールの診断項目 023100 RVS32 RVS REFERENCE VOLTAGE ACCURACY CHECKにおいて直前に実行されたモジュールがフェイルした場合、正常であるにもかかわらず、フェイルしていました。,"When the result of the previous diagnostics-run module was a fail, the diagnostic item 023100 RVS32 RVS REFERENCE VOLTAGE ACCURACY CHECK for the T6391 RVS32 module would result in a fail despite the actually pass-result of the diagnostics execution.",T6391 RVS32モジュールの診断項目 023100 RVS32 RVS REFERENCE VOLTAGE ACCURACY CHECKにおいてモジュールが正常な場合パスするようになりました。,The diagnostic item 023100 RVS32 RVS REFERENCE VOLTAGE ACCURACY CHECK for the T6391 RVS32 module now results in a pass true to the normal diagnostics execution state on the module it such is the case.,R1.00_00以降,R1.00_00 and later,AT_T6KAQMCD_x64,,,PLXM20-CD,UN_CPD.xls,DC開発１課　永田
R1.02_00,,BTS00027263,Defect,GUI_Tools,ConsoleWindow,結果表示部のパス／フェイルの結果が点灯されたままになる現象,Pass/fail results in the result display area remained illuminated.,プロダクション・モードをOffからOnにしても、結果表示部のパス／フェイルの結果が点灯されたままとなり、Offの状態を表示していました。,"Even when production mode was changed from Off to On, the pass/fail results in the result display area remained illuminated, and the state of the production mode was continuously shown as Off.",プロダクション・モードをOnにしたときは、パス／フェイルの結果を表示しないようにしました。,Pass/fail results are not displayed now when the production mode is set to On.,R1.00以降,R1.00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft8.xls,永瀬
R1.02_00,,BTS00028208,Defect,GUI_Tools,General,Limitation、相対値によるスキャン、パーセント値によるスキャンを含むセットアップ・ファイルを読み込んだときにファイルの内容と異なる条件でシュムーが実行される現象,"When a setup file that included Limitation setting, scan by relative value, and scan by percent value was loaded, shmoo was executed with incorrect conditions.","Limitation、相対値によるスキャン、パーセント値によるスキャンを含むセットアップ・ファイルを読み込んだときにファイルの内容と異なる条件でシュムーが実行されました。
Shmoo Tool、3D Trend ToolおよびSCAN2クラスで、拡張子が "".set"" のセットアップ・ファイルを読み込んだとき、現象が発生します。","When a setup file that included Limitation setting, scan by relative value, and scan by percent value was loaded, shmoo was executed with conditions different from the contents of that file.
This problem occurred when a setup file with the .set extension was loaded by using Shmoo Tool, 3D Trend Tool, or the SCAN2 class.",Limitation、相対値によるスキャン、パーセント値によるスキャンを含むセットアップ・ファイルを読み込んだときにはエラーになるようになりました。,"When a setup file that includes Limitation setting, scan by relative value, and scan by percent value is loaded, an error occurs now.",R1.00_00以降,R1.00_00 and later,"AT_T6KCommon_x64,OAI_T6KOS_x64",,,"PLXE61,PLXT61,PLXM20-MD",UN_APSoft1.xls,横町
R1.02_00,,BTS00027650,Defect,GUI_Tools,HidarTool,GUIで変更した統計結果出力条件がHIDARクラスのPostExec()メソッドによる結果表示に反映されない現象,Statistical result output conditions changed using GUI were not applied in the result display by the HIDAR class PostExec() method.,"Hidar Tool上で、Output DUT ID, Format, Destinatioの設定を変更しても、HIDARクラスのPostExec()メソッドによる結果表示に反映されませんでした。","Even when the Output DUT ID, Format, or Destination setting was changed on Hidar Tool, the change was not applied in the result display by the PostExec() method of the HIDAR class.","Hidar Tool上で、Output DUT ID, Format, Destinatioの設定を変更した時にも、HIDARクラスのPostExec()メソッドによる結果表示に反映されるようにしました。","When the Output DUT ID, Format, or Destination setting is changed on Hidar Tool, the change is now applied in the result display by the PostExec() method of the HIDAR class.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_APSoft7.xls,辻
R1.02_00,,BTS00028252,Defect,GUI_Tools,HidarTool,結果表示のヘッダ部にテスト・プラン・プログラム名が表示されない現象,Test plan program name was not displayed in the header area of the result display.,"結果表示のヘッダ部のPlan Nameとして、常に""TDLTestplan""という名称が表示されていました。","""TDLTestplan"" was always displayed for Plan Name in the header area of the result display.",結果表示のヘッダ部のPlan Nameとして、テスト・プラン・プログラム名が表示されるようにしました。,The test plan program name is now displayed for Plan Name in the header area of the result display.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_APSoft7.xls,辻
R1.02_00,,BTS00028254,Defect,GUI_Tools,HidarTool,統計処理の対象範囲内に入る測定値がひとつも無いアイテムが結果表示の対象にならない現象,An item that did not have a measured value included in the range for statistical processing was not included in the result display.,アイテム・リストで設定したアイテムについて、収集条件として指定したMinimum Scale以上Maximum Scale未満の範囲に含まれる測定値がひとつも無かった場合に、そのアイテムは結果表示の対象になりませんでした。,"When an item set in the item list did not have a measured value within the specified collection condition range between Minimum Scale and Maximum Scale, that item was excluded from the target for result display.",アイテム・リストで設定したアイテムについて、収集条件として指定したMinimum Scale以上Maximum Scale未満の範囲に含まれる測定値がひとつも無かった場合にも、そのアイテムが結果表示の対象になるようにしました。,"Even when an item set in the item list does not have a measured value within the specified collection condition range between Minimum Scale and Maximum Scale, that item is now included in the target for result display.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_APSoft7.xls,辻
R1.02_00,,BTS00028264,Defect,GUI_Tools,PatternEditor,1025ピン以上選択してWave Toolを起動するとPattern Editorが終了する現象,Pattern Editor terminated when Wave Tool was started after 1025 or more pins were selected.,1025ピン以上選択してWave Toolを起動すると、Pattern Editorが異常終了することがありました。,Pattern Editor sometimes terminated abnormally when Wave Tool was started after 1025 or more pins were selected.,1025ピン以上選択してWave Toolを起動してもPattern Editorが異常終了しなくなりました。,Now Pattern Editor does not terminate abnormally even when Wave Tool is started after 1025 or more pins have been selected.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,寺内
R1.02_00,,BTS00028266,Defect,GUI_Tools,PatternEditor,サブルーチン・パターン・ウィンドウが移動できない現象,A subroutine pattern window could not be moved.,サブルーチン・パターンを開いた直後、サブルーチン・パターン・ウィンドウが移動できない場合がありました。,"Immediately after a subroutine pattern was opened, the subroutine pattern window sometimes could not be moved.",サブルーチン・パターンを開いた直後でも、サブルーチン・パターン・ウィンドウが移動できるようになりました。,The subroutine pattern window can now be moved even immediately after a subroutine pattern is opened.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,寺内
R1.02_00,,BTS00028268,Defect,GUI_Tools,PatternEditor,オペランドのアドレス値が正しく表示及び編集できない現象,Address values of operands could not be displayed or edited correctly.,コントロール・フィールドのオペランドのアドレス値が、正しく表示及び編集できない場合がありました。,Address values of operands in the control field sometimes could not be displayed or edited correctly.,オペランドのアドレス値が正しく表示及び編集できるようになりました。,Address values of operands can now be displayed and edited correctly.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,寺内
R1.02_00,,BTS00028270,Defect,GUI_Tools,PatternEditor,サブルーチン・パターンからWave Toolを起動するとWave Toolが終了する現象,Wave Tool terminated when it was started from a subroutine pattern.,サブルーチン・パターンからWave Toolを起動すると、Wave Toolが異常終了することがありました。,"When Wave Tool was started from a subroutine pattern, it sometimes terminated abnormally.",サブルーチン・パターンからWave Toolを起動しても、Wave Toolが異常終了しなくなりました。,"When Wave Tool is started from a subroutine pattern, it does not terminate abnormally now.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,寺内
R1.02_00,7/16追加,BTS00028457,Defect,GUI_Tools,PatternEditor,VECTORFILEGRPクラスで指定したパターンが正しく実行できない現象,Pattern was not executed properly if it was specified in VECTORFILEGRP class.,VECTORFILEGRPクラスで指定した2番目以降のパターンでStart PGをすると、1番目のパターンの結果を表示していました。,Executing Start PG with the second pattern or beyond of those specified in  VECTORFILEGRP class would bring about the result display with the first pattern only.,上記のパターンでStart PGした場合、指定したパターンの結果を表示できるようになりました。,Executing Start PG with the second pattern or beyond of those specified in  VECTORFILEGRP class brings about the result display with each of them correctly.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,寺内
R1.02_00,,BTS00028206,Defect,GUI_Tools,ShmooTool,ASCIIファイルのリソース名が正しく出力されない現象,Resource names in the ASCII file were not output correctly.,シュムー・プロットをASCIIファイルに出力したとき、主軸のリソース名にResolutionが出力されていました。,"When shmoo plot was output to an ASCII file, Resolution data was output as the resource name for the main axis.",主軸のリソース名が正しく出力されるようになりました。,The resource name for the main axis is now output correctly.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,横町
R1.02_00,,BTS00028339,Defect,GUI_Tools,ShmooTool,セットアップ・ファイルの読み込みがエラーになる現象,Loading a setup file resulted in an error.,"以下に該当するセットアップ・ファイルを読み込んだとき、エラーとなり、シュムーを実行することができませんでした。

(条件)
拡張子 "".set"" のセットアップ・ファイルで、X軸の条件とY軸の条件に加えて使用していない軸の条件が含まれているか、Normalトラッキングの条件が含まれている。","When a setup file that met the following condition was loaded, an error occurred and shmoo could not be executed.

(Condition)
The extension of the setup file was .set and the conditions of axes that were not used were included or conditions for Normal tracking were included in the setup file in addition to the conditions of the X-axis and Y-axis.",該当するセットアップ・ファイルを読み込んだとき、エラーとならずに、シュムーを実行できるようになりました。,"When a setup file that meets the previously mentioned condition is loaded, an error does not occur and shmoo can be executed now.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,横町
R1.02_00,,BTS00028169,Defect,GUI_Tools,SystemViewer,UDCまたはMDCのLimitHとLimitLが表示できない現象,LimitH and LimitL of a UDC or MDC could not be displayed.,MEASURE_IMまたはMEASURE_VMクラスよりも前でSIGDCクラスが設定されている場合、UDCまたはMDCのLimitHとLimitLの値を表示できませんでした。,"When the SIGDC class was set prior to the MEASURE_IM or MEASURE_VM class, the LimitH and LimitL values of a UDC or MDC could not be displayed.",MEASURE_IMまたはMEASURE_VMクラスよりも前でSIGDCクラスが設定されていても、UDCまたはMDCのLimitHとLimitLの値を表示できるようになりました。,"Even if the SIGDC class is set prior to the MEASURE_IM or MEASURE_VM class, the LimitH and LimitL values of a UDC or MDC can now be displayed.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.02_00,,BTS00028167,Defect,GUI_Tools,SystemViewer,RVSPINに論理ピン番号を表示できない現象,Logical pin numbers could not be displayed for RVSPIN.,RVSPINのRVS列に論理ピン番号ではなく、テスタ・チャンネル番号を表示していました。。,Tester channel numbers were displayed instead of logical pin numbers in the RVS column of RVSPIN.。,RVSPINのRVS列に論理ピン番号を表示できるようになりました。,Logical pin numbers can now be displayed in the RVS column of RVSPIN.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.02_00,,BTS00028347,Defect,GUI_Tools,SystemViewer,Signal ModifyダイアログでTimingデータにOPENを表示できない現象,OPEN for Timing data could not be displayed in the Signal Modify dialog box.,TimingデータがOPENの場合、Signal ModifyダイアログにOPENではなく、0Sを表示していました。,"Instead of OPEN, 0S was displayed in the Signal Modify dialog box when the Timing data was OPEN.",Signal ModifyダイアログでTimingデータにOPENを表示できるようになりました。,OPEN can now be displayed for Timing data in the Signal Modify dialog box.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
